#,A,x0,sigma
40,134.5508422,97.98879972,15.16435135
50,150.6766388,100.2129759,11.98432921
60,176.7833341,102.3957134,-8.846847465
70,186.4916634,101.8780953,-7.841916516
80,175.7547235,101.3361319,-8.812040256
90,154.6115561,103.7635328,-11.28335899
100,142.1367351,110.219374,13.43431728
110,125.9237676,115.5650576,-17.34352518
140,73.59246443,117.6777541,50.1403029
150,65.00835472,136.7897114,78.19662946
180,221.2737635,169.4299846,-5.630153232
190,238.859648,164.1601026,5.604385009
200,228.0798645,155.978655,5.744905156
210,240.63772,144.9255778,6.090441192
220,232.1035762,132.7429678,-6.722733528
230,202.1398352,122.2412632,7.515842546
240,221.8635181,112.1262478,-6.297164482
250,226.184081,103.575706,5.986686395
260,240.5315068,93.13162779,5.326283355
270,249.0857068,83.70939106,4.426215383
280,243.1073303,76.51963151,-4.429175921
290,235.0089498,73.13427924,-4.986431879
300,191.0882804,69.07705285,-7.421882412
310,152.5941918,62.14333991,11.45799375
320,150.3992064,53.40535329,12.12424814
330,151.2586818,46.9333019,11.7265103
340,147.516185,40.79273101,12.3879491
