#,A,x0,sigma
30,143.3278539,86.76922381,7.870798552
40,204.0609862,87.26822541,4.80155144
50,193.9946012,85.86193989,5.338028925
60,186.1979185,85.73597339,5.599128571
70,184.421718,88.12668435,5.433754038
80,165.2613291,93.63394815,6.390148137
90,146.8043512,99.93459712,-8.447044422
100,135.9879781,102.7324926,-9.553617087
110,128.0278651,102.0896894,10.7707186
120,113.6970289,99.30838729,13.58957416
170,158.6928914,169.9579915,8.778467731
180,200.4040467,167.9431976,5.694951574
190,241.1795389,164.1549148,4.785413093
200,235.989007,156.8619532,4.72576052
210,227.9251368,146.6355275,-5.138659645
220,214.3567209,134.2081201,-5.463946807
230,159.4984358,119.6823131,7.656231194
240,200.0916363,104.4278021,-4.311560636
250,162.6114408,97.20990778,-5.094166183
260,197.5480299,91.25209241,5.0097995
270,189.963932,83.31495296,-5.205155148
280,193.7244556,73.05070181,-5.178805982
290,186.295568,66.0114301,-4.986633127
300,173.9391587,61.86022499,5.63779976
310,158.576267,58.54498255,-6.847389261
320,139.1947057,50.41804555,8.936404531
330,138.3275777,39.43441034,9.068212567
340,104.1687496,39.17519403,-14.59395027
