#,A,x0,sigma
40,111.5645758,91.14187562,16.8514735
50,139.8799629,87.36374147,12.51300471
60,138.9528487,88.53697836,11.44744389
70,119.2811801,97.41746004,13.2767054
80,109.33975,117.6806591,15.63610035
90,118.0266697,131.1974726,12.73786097
100,112.8644486,136.3801095,14.29289698
110,4.33E+36,13295.39179,1036.935718
120,111.8781007,11.23679471,12.31863029
130,159.2579029,11.0487001,6.82077118
140,178.456431,8.184168025,4.947326701
150,196.4473439,3.918281702,3.036547271
180,213.3578049,175.7347244,3.65531649
200,229.0247536,163.3409047,3.79279413
210,210.8990931,154.1657925,3.739094713
220,245.4206275,145.7330117,2.650001759
230,228.6083343,137.493884,-3.111427593
240,227.7253407,128.1989864,-2.981583517
250,210.7100978,117.2868362,-3.702942375
260,231.5882288,105.5661346,3.456452881
270,178.6433683,90.3072364,7.014466291
280,202.2895979,75.41644479,5.828731104
290,153.7100988,58.85019484,8.205219229
300,180.3674527,49.37644208,-5.234786418
310,160.1679595,45.09007212,-6.730252408
320,118.9734369,34.8181224,12.61667815
