#,A,x0,sigma
30,131.3546782,116.448554,-15.36229023
40,167.6942108,106.5145849,-9.869748457
50,181.8420498,102.4557091,-8.221011513
60,177.559599,101.621426,8.638939856
70,161.2628768,102.7879892,10.30149987
80,146.5466702,107.414923,-12.45200086
90,141.411439,115.8056475,-12.75446663
100,143.2878922,123.3050079,12.20140315
110,131.1811852,129.1987715,14.02348884
120,138.3310433,139.084531,-11.75685435
190,236.6296758,170.8000588,6.002571123
200,232.1549727,164.1186576,5.650547787
210,249.3587436,153.8009635,-5.201484638
220,203.4103077,140.7633105,-7.49922686
230,231.3910254,123.8786154,4.92904391
240,227.7631013,112.0628104,-4.724882141
250,223.6132217,101.7780595,5.119211393
260,215.5553168,92.56871395,5.444362077
270,199.2929381,83.93300329,6.616398459
280,193.5251144,76.56498354,-6.668731001
290,206.2491652,69.63249508,-6.415154652
300,188.2593463,60.70187443,-7.009867746
310,188.637567,50.92428551,7.76096495
320,174.5020809,42.55736264,-8.536660462
330,174.0558735,36.72074627,8.577345951
340,172.5833635,30.94758979,-8.881186284
