#,A,x0,sigma
50,109.0610318,99.78147636,17.31635239
60,107.5152012,103.6744725,17.82518315
70,103.6989356,110.5247518,-19.01258615
80,101.7207217,118.6161429,-19.34408225
90,107.9496433,126.6875894,17.13384167
100,113.1614691,131.7372566,15.80217125
110,111.1133289,133.8946815,16.75349929
120,102.3118261,134.8189222,19.22348485
170,171.4658378,165.7934962,7.013921826
180,179.0962172,165.3157992,7.470810195
190,193.6349195,161.0325634,6.5459416
200,186.8461758,155.3473723,-6.377692785
210,175.0345437,145.4016945,6.633196947
220,190.7264469,129.4518008,5.606704045
230,183.5239566,113.2975042,6.037765284
240,193.5653208,101.6160319,5.688283522
250,202.431216,94.21930802,4.614424683
260,227.1517531,86.15114184,4.023712626
270,215.5979586,78.93282023,4.068837754
280,238.6605999,73.65522667,-3.748881671
290,227.2883067,69.88367133,-3.782422182
300,228.5995691,65.16538403,4.144781989
310,193.984754,57.85102122,-5.881086349
320,158.6238424,46.95023587,8.119681074
330,146.8596745,36.01838882,9.590146459
340,147.4317923,25.53881413,9.298397466
350,116.4990675,21.48444127,13.94280972
